id2,geography,population,housing,income,employment,poverty
06037111100,"Census Tract 1111, Los Angeles County, California",3054,398000,72321,58.1,209
06037111201,"Census Tract 1112.01, Los Angeles County, California",3191,439400,90034,54.4,126
06037111202,"Census Tract 1112.02, Los Angeles County, California",5313,430900,69643,58.6,485
06037111204,"Census Tract 1112.04, Los Angeles County, California",6083,637600,109889,58.3,409
06037111205,"Census Tract 1112.05, Los Angeles County, California",3863,439100,69469,55.3,356
06037111206,"Census Tract 1112.06, Los Angeles County, California",4652,489600,118479,58.1,384
06037111301,"Census Tract 1113.01, Los Angeles County, California",7600,431400,48812,63.2,1130
06037111302,"Census Tract 1113.02, Los Angeles County, California",4762,473900,59081,56.7,506
06037111400,"Census Tract 1114, Los Angeles County, California",8049,382900,49531,53.6,1433
06037113101,"Census Tract 1131.01, Los Angeles County, California",3861,577000,90286,44.6,254
06037113102,"Census Tract 1131.02, Los Angeles County, California",2945,726400,115294,50.4,145
06037113211,"Census Tract 1132.11, Los Angeles County, California",4085,373700,95489,62.1,167
06037113212,"Census Tract 1132.12, Los Angeles County, California",3181,401400,77344,58.3,85
06037113213,"Census Tract 1132.13, Los Angeles County, California",4552,306300,77523,59.9,481
06037113231,"Census Tract 1132.31, Los Angeles County, California",2171,580000,83194,53.2,110
06037113232,"Census Tract 1132.32, Los Angeles County, California",4132,518500,96319,58.3,169
06037113233,"Census Tract 1132.33, Los Angeles County, California",6895,313700,43806,65.4,1331
06037113234,"Census Tract 1132.34, Los Angeles County, California",4742,251600,37759,59.4,1314
06037113235,"Census Tract 1132.35, Los Angeles County, California",1637,321300,74412,58.6,174
06037113237,"Census Tract 1132.37, Los Angeles County, California",3847,569000,75898,58.8,297
06037113301,"Census Tract 1133.01, Los Angeles County, California",2313,654200,96818,51.6,78
06037113303,"Census Tract 1133.03, Los Angeles County, California",4299,420700,89167,56,195
06037113321,"Census Tract 1133.21, Los Angeles County, California",5868,265100,54988,70.4,902
06037113322,"Census Tract 1133.22, Los Angeles County, California",4152,445800,84135,56.1,385
06037113401,"Census Tract 1134.01, Los Angeles County, California",5265,381200,68316,56.6,533
06037113421,"Census Tract 1134.21, Los Angeles County, California",6571,363600,43016,67.9,2058
06037113422,"Census Tract 1134.22, Los Angeles County, California",6571,354900,59694,61.7,926
06037115101,"Census Tract 1151.01, Los Angeles County, California",5252,671300,111528,55.9,102
06037115103,"Census Tract 1151.03, Los Angeles County, California",2294,0,19519,30.6,92
06037115104,"Census Tract 1151.04, Los Angeles County, California",3732,510900,40417,56.1,1188
06037115201,"Census Tract 1152.01, Los Angeles County, California",7023,481600,52169,58.4,1238
06037115202,"Census Tract 1152.02, Los Angeles County, California",4969,386200,52917,57.5,1020
06037115301,"Census Tract 1153.01, Los Angeles County, California",3914,516300,63723,56.4,658
06037115302,"Census Tract 1153.02, Los Angeles County, California",4007,403100,39432,62.5,1066
06037115401,"Census Tract 1154.01, Los Angeles County, California",5964,483000,57250,59.3,1180
06037115403,"Census Tract 1154.03, Los Angeles County, California",3536,430700,43227,57.6,838
06037115404,"Census Tract 1154.04, Los Angeles County, California",2889,382200,37556,51.8,739
06037117101,"Census Tract 1171.01, Los Angeles County, California",5124,322300,79777,63.3,690
